,_unit_id,airline_sentiment,text
150,681448484,negative,.USER-MENTION does that mean you don't have a policy for destroyed luggage?
151,681448487,neutral,USER-MENTION is there special assistance if i travel alone w/2 kids and 1 infant? priority boarding?
152,681448488,positive,USER-MENTION thank you for checking in. tickets are purchased and customer is happy emo-pos
153,681448489,neutral,USER-MENTION is your website ever coming back online?
154,681448491,neutral,"USER-MENTION - is flight 713 from love field to sfo definitely cancelled flightled for monday, february 23?"
155,681448496,neutral,USER-MENTION is flight 0769 out of lga to dfw on time?
156,681448498,neutral,USER-MENTION my drivers license is expired by a little over a month. can i fly friday morning using my expired license?
157,681448500,negative,USER-MENTION having problems flight booking problems on the web site. keeps giving me an error and to contact by phone. phone is 30 minute wait.
158,681448502,negative,USER-MENTION how do i reschedule my cancelled flightled flights online? the change button is greyed out!
159,681448504,negative,"USER-MENTION i rang, but there is a wait for 35 minutes!! i can book the same ticket through a vendor, fix your site"
160,681448506,negative,"USER-MENTION got a flight (we were told) for 4:50 today ,checked my email and its for 4;50 tomorrow. this is unacceptable."
161,681448509,negative,"USER-MENTION our flight into lga was cancelled flighted. we're stuck in dallas. i called to reschedule, told i could get a flight for today (1/2)"
162,681448511,negative,USER-MENTION why don't any of the pairings include red wine?! only white is offered emo-neg redwineisbetter
163,681448513,negative,USER-MENTION is the website down?
164,681448515,negative,USER-MENTION - your site seems a little wonked right now. may want to have a look. tried on two browsers. no css? URL
165,681448517,negative,USER-MENTION i'm disappointed that the agent at the designated silver status check in line USER-MENTION closed to assist all pasengers
166,681448520,neutral,USER-MENTION plans to include austin to its dallas route - topnews arab emirates URL
167,681448522,negative,USER-MENTION is it normal to receive no reply from central baggage baggageissues smh
168,681448524,negative,USER-MENTION at logan airport and waiting to checkin for my 9am flight. checkin desk not open !!!!! why?!
169,681448527,neutral,USER-MENTION to jump into the dallas-austin market - USER-MENTION URL
170,681448529,neutral,"USER-MENTION beats eps views, takes on southwestair va luv - investor's business daily URL"
171,681448531,neutral,USER-MENTION lister to my show my on monday 1230 130
172,681448533,neutral,USER-MENTION to begin dallas-austin flights in april - 88.9 ketr URL
173,681448535,negative,"USER-MENTION congrats, you just got all my business from ewr to sfo/lax. fuck you USER-MENTION fl1289 sfo/ewr was the clincher"
174,681448538,negative,USER-MENTION i applied over 2 weeks ago. haven't heard back and i'm flying this week disappointed
175,681448540,neutral,USER-MENTION i'd love to know what your policy is for damaged luggage.
176,681448542,positive,USER-MENTION thank you for the follow
177,681448543,negative,USER-MENTION - too many apologies! you r the worse airlines! don't even respond to your cudtomers
178,681448545,negative,USER-MENTION shame on va for making people spend money in stranded cities when other airlines are landing at jfk! who will reimburse me?
179,681448547,neutral,USER-MENTION USER-MENTION i dm you
180,681448551,neutral,USER-MENTION can you please have flights in sjc ? i have no choice but to fly southwest to vegas
181,681448553,negative,USER-MENTION too bad you say it takes 10 to 14 days via your confirmation email. when i inquired after 3 weeks you claim 6 to 8 weeks!
182,681448555,negative,USER-MENTION flight from bos &gt; las tomorrow was cancelled flightled. no notification; wait times are 1+ hour. will you rebook on another airline?
183,681448558,positive,USER-MENTION you ve met your match. got status on another airline? upgrade (+restr): URL URL
184,681448560,positive,USER-MENTION only way to fly! elevate gold
185,681448562,neutral,USER-MENTION if only you guys had flights from cmh.
186,681448564,negative,"USER-MENTION a lot of ""apologies"" being thrown out to customers from what i can see.very sad. thanks for nothing. worst airline ever."
187,681448566,negative,USER-MENTION for all my flight stuff wrong and did nothing about it. had worst flight ever
188,681448568,neutral,USER-MENTION having an issue finding a missing item on a plane. can you help me find which airport my plane headed to next?
189,681448570,positive,USER-MENTION you will match my americanairlines status? cool!
190,681448572,neutral,USER-MENTION met your match.got status on another airline? upgrade : URL USER-MENTION ?
191,681448574,negative,USER-MENTION trying to book a flight with you guys and your website won't let me about to lose my business
192,681448576,negative,USER-MENTION you suck!
193,681448578,positive,USER-MENTION thanks!
194,681448580,negative,USER-MENTION just dm'd. same issue persisting.
195,681448583,negative,USER-MENTION because we never rec'd cancelled flightlation notice we were left w no options to fly out of ps. driving to la for a red eye mon w kids
196,681448585,negative,USER-MENTION trying to book a flight &amp; your site is down
197,681448587,negative,USER-MENTION you have any flights flying into boston tomorrow? i need to be home and you cancelled flightled my flight and didn't do anything
198,681448589,negative,USER-MENTION you stink. flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed. expected better
199,681448591,positive,USER-MENTION i love your guy's song! we're dancing to it for our high school dance revue
200,681448594,negative,USER-MENTION your website is down and i'm trying to check in!
201,681448597,positive,"USER-MENTION done! thank you for the quick response, apparently faster than sitting on hold emo-pos"
202,681448598,neutral,USER-MENTION nervous about my flight from dc to lax getting cancelled flightled tomorrow! just sent you a dm to help me!
203,681448600,positive,USER-MENTION cool picture of another virginamerica plane off our wing. what a site! URL
204,681448602,positive,USER-MENTION keep up the great work emo-pos
205,681448604,positive,USER-MENTION my goodness your people USER-MENTION field are amazing under pressure from texas beatstheothers in crisis please fly me to ny
206,681448607,positive,USER-MENTION thanks for a great flight from la to boston! pilots did a great job landing in the snow. can we go back to la now? seriously
207,681448609,neutral,USER-MENTION can you please get me to the new york area before monday afternoon
208,681448612,positive,"USER-MENTION thanks so much for the awesome support, you guys rock!"
209,681448614,negative,USER-MENTION seats in row 8 don't recline should mention that on your website soreback
210,681448617,negative,USER-MENTION flight 404 delayed 2 hours in la due to mechanical problems. handle like pros but you could have tossed us a free drink.
211,681448619,negative,USER-MENTION why cancelled flight flights today? no precipitation to be scared of!
212,681448621,positive,USER-MENTION twitter team. you guys killed it for rescheduling me asap. thank you!
213,681448623,negative,USER-MENTION you guys charged me $100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it. what's the deal?
214,681448625,negative,USER-MENTION can t access your website from safari on iphone 6. seems to work on mac and ipad. need iphone to add passbook.
215,681448628,neutral,"USER-MENTION on ipad and iphone, clicking the checkin link in the email i received at 24hrs before flight"
216,681448630,negative,"USER-MENTION your mobile site is broken, shows ""{{header.elevateuser.numofpointsavailable '0' number}} points"", won't let me checkin"
217,681448632,negative,USER-MENTION i was really looking forward to my flight. can you let me know when it will be rescheduled? diehardvirgin
218,681448634,negative,"USER-MENTION why cancelled flight flight vx413? one sec its delayed, on my to airport, the next its cancelled flightled?gonna email or call me to reschedule?"
219,681448637,negative,USER-MENTION i did it but there was a problem in the link from the email for check-in. thanks
220,681448639,negative,USER-MENTION had to change to another airline to get to dc today why is USER-MENTION able to land in dc but not you? cost me $800 ugh
221,681448641,negative,USER-MENTION i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one
222,681448643,positive,USER-MENTION when are you putting some great deals from pdx to las or from las to pdx show me your love! URL
223,681448645,positive,USER-MENTION wish i can afford to fly with you next friday going back home love everything about your airline
224,681448648,negative,USER-MENTION how are you gonna have a deal from dallas to dc but no deal from dc to dallas? sad
225,681448650,neutral,"USER-MENTION it s just a bug report, guys"
226,681448652,negative,USER-MENTION hold times at call center are a bit much
227,681448653,positive,USER-MENTION like URL
228,681448654,negative,USER-MENTION site down? help
229,681448656,positive,USER-MENTION you have the best flight attendant ever!!! URL
230,681448658,positive,"awesome! USER-MENTION watch nominated films at 35,000 feet. meetthefleet oscars URL"
231,681448660,positive,USER-MENTION thanks so much!
232,681448663,negative,"USER-MENTION trying to reset my password, email never arrives. help?"
233,681448665,positive,USER-MENTION the only airline based in silicon valley! disruption fcmostinnovative incubator USER-MENTION URL
234,681448667,positive,USER-MENTION very nicely done.
235,681448669,positive,USER-MENTION i m looking forward to watching the oscars on my flight home tomorrow. i might even get something bubbly to drink! emo-pos
236,681448671,negative,USER-MENTION what is the reason for the delay of the departure of vx 413 from jfk this afternoon?
237,681448673,negative,"USER-MENTION is todays flight from palm springs, ca to jfk in ny cancelled flightled?"
238,681448676,positive,USER-MENTION hahaha USER-MENTION you guys are amazing. i love you guys!!!
239,681448679,positive,USER-MENTION sounds like fun !
240,681448683,neutral,USER-MENTION any updates on flight 413 from jfk &gt; lax
241,681448685,neutral,USER-MENTION spruce moose!
242,681448688,negative,"USER-MENTION the css on your site is a 404 right now, please fix. site unusable."
243,681448690,negative,"USER-MENTION we're on flight 910 vegas to boston today, checked in online but our bag count didn't register. can i fix that somehow?"
244,681448692,positive,"USER-MENTION classiq, luv virgin america. greetingz"
245,681448694,negative,"USER-MENTION hi, i'm trying to do check-in but the website is not working. i tried 3 different browsers and the problem continues"
246,681448696,positive,USER-MENTION thanks for your great customer service today &amp; for helping me get all my travel sorted out!
247,681448699,positive,USER-MENTION thanks guys! sweet route over the rockies airplanemodewason
248,681448701,positive,USER-MENTION love the 90s music blasting at gate in boston while waiting for flight to sanfrancisco. only if i could get an iced coffee!
249,681448704,negative,"USER-MENTION - the passenger in 7d, flt 338 that assaulted me shouldn't have flown. i trust he's banned. crew filed report to USER-MENTION"
250,681448706,negative,USER-MENTION current bug on website shows select departure city when selecting destination city URL
251,681448707,negative,USER-MENTION luggage was severely dented/missing wheel coming off baggage claim in san. luggage agent miranda (i think) wasn't any help.
252,681448709,positive,"USER-MENTION thank you for the easy itinerary shift for impending weather. quick, painless &amp; free."
253,681448711,neutral,"USER-MENTION if you'd love to see more girls be inspired to become pilots, our free woaw event march 2-8 at abq. URL"
254,681448713,positive,USER-MENTION thanks! good times there and back! vodkatonics the entire flight sfo
255,681448715,neutral,"USER-MENTION beats expectations, shares take off - santa cruz sentinel URL"
256,681448717,neutral,USER-MENTION any plans to start flying direct from dal to las?
257,681448720,neutral,USER-MENTION big love/gratitude.mpower w/ URL werin oscars2105 vipswagbags@ avalonhollywood URL
258,681448722,positive,USER-MENTION you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. thank you. keep it up!
259,681448724,negative,USER-MENTION requested window seat and confirmed window but got stuck in middle seat. not a good way to treat silver member
260,681448726,neutral,USER-MENTION grand budapest hotel oscarscountdown
261,681448728,neutral,USER-MENTION this is what you missed USER-MENTION next trip to the 407.
262,681448730,negative,USER-MENTION wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
263,681448732,negative,USER-MENTION there is something wrong with you website in safari iphone
264,681448735,positive,USER-MENTION thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too sweet
265,681448737,negative,USER-MENTION already checked in so the page expired :x
266,681448739,negative,USER-MENTION boo for a not refunding a seat upgrade fee i did not want to buy in the first place!
267,681448741,neutral,USER-MENTION shares rise on q4 financial results - usa today URL
268,681448743,neutral,USER-MENTION adds pillows instead of lie-flat seats in first class arms race URL
269,681448745,positive,USER-MENTION i see what you did there emo-pos
270,681448749,neutral,USER-MENTION way to take advantage of mayweatherpacquiao emo-pos
271,681448751,neutral,USER-MENTION you know i'm flying virgin for the fight mayweatherpacquiao
272,681448753,positive,USER-MENTION your inflight team makes the experience amazing!
273,681448755,positive,USER-MENTION cutest salt and pepper shaker ever. just when i think you guys can't get any better you just do! URL
274,681448757,negative,"USER-MENTION moved my seat with no notice. ""better seat"" is cabin select not behind the row i selected disappointed"
275,681448759,neutral,USER-MENTION shares up on 4q results - USER-MENTION URL
276,681448761,positive,USER-MENTION fav airline
277,681448763,positive,USER-MENTION we have a hot female pilot! sweet! dca to sfo! emo-pos
278,681448764,neutral,when are you guys going to start flying to paris? USER-MENTION USER-MENTION you're welcome.
279,681448765,neutral,USER-MENTION what is your policy on flying after surgery? i am still waiting for answer so i can tell me doctor.
280,681448766,negative,USER-MENTION already contacted central baggage &amp; sent dm. USER-MENTION is charging me for the dress that was in the lost suitcase help
281,681448767,positive,USER-MENTION thank you!!
282,681448768,negative,USER-MENTION is there anything going on with the website? i've been getting a lot of errors past 30 minutes.
283,681448769,neutral,USER-MENTION i think i left something on the plane yesterday. who do i call ah!
284,681448770,neutral,USER-MENTION i need you to follow back in order to dm.
285,681448771,neutral,USER-MENTION need to start flying to USER-MENTION .
286,681448772,neutral,USER-MENTION they told to check with the airline regulation first so that is why i contacted you.
287,681448773,negative,USER-MENTION USER-MENTION i have just checked in flight to sfo from lax &amp; been told as atlantic flying club gold i get no benefits?!
288,681448774,negative,USER-MENTION husband and i ordered three drinks via my screen and they never came. awesome!
289,681448775,negative,USER-MENTION soooo are you guys going to leave the seatbelt light on all flight? you can barely call this turbulence emo-pos
290,681448776,neutral,USER-MENTION what is your policy on flying after surgery?
291,681448777,neutral,USER-MENTION posts second consecutive full-year net profit - USER-MENTION URL
292,681448778,negative,"USER-MENTION funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. i dislike this!"
293,681448779,positive,USER-MENTION would love to do more for virgin just like i do for USER-MENTION
294,681448780,neutral,USER-MENTION results handily exceed forecasts - USER-MENTION URL
295,681448781,neutral,"USER-MENTION i applied for a position in USER-MENTION ,and i was wondering if you guys received my application."
296,681448782,neutral,USER-MENTION achieves a second year of profitability despite revenue pressure - USER-MENTION URL
297,681448783,neutral,"USER-MENTION gives positive outlook, but sees increased competition - USER-MENTION URL"
298,681448784,negative,USER-MENTION i'm trying to check into my 10:50am ct flight tmm on the desktop website and it's not working (some sort of caching bug) sos
299,681448785,neutral,USER-MENTION weather delays &gt; next few weeks emo-pos jfk bos dca
300,681448786,neutral,USER-MENTION USER-MENTION check the website before you go to the airport!
301,681448787,negative,USER-MENTION do you guys know your check-in links from emails are broken? URL
302,681448788,neutral,USER-MENTION pilot says we expect a choppy landing in nyc due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8
303,681448789,positive,USER-MENTION loved it. can't wait for monday's return flight mostly just to watch the inflight safety video again. sorrynotsorry
304,681448790,negative,"USER-MENTION lost my luggage 4 days ago on flight vx 112 from lax to iad &amp; i'm calling every day, no response.please give me back my stuff"
